Date/Time,热负荷/kWh,冷负荷/kWh,电负荷/kWh
Year 1 Jan 14 0:00,2959.74111037192,0,189.450239483545
Year 1 Jan 14 1:00,3067.5009813359,0,73.2926104169826
Year 1 Jan 14 2:00,3069.36935533435,0,73.2926104169826
Year 1 Jan 14 3:00,3094.75866798969,0,73.2926104169826
Year 1 Jan 14 4:00,3141.43314245846,0,73.2926104169826
Year 1 Jan 14 5:00,4783.58381339486,0,73.2926104169826
Year 1 Jan 14 6:00,6739.19855317101,0,73.2926104169826
Year 1 Jan 14 7:00,6363.66202213283,0,429.874775032858
Year 1 Jan 14 8:00,5199.23842048373,0,1988.34660328931
Year 1 Jan 14 9:00,4656.44395668325,0,2335.23203585185
Year 1 Jan 14 10:00,2027.78266277482,0,2063.72717938151
Year 1 Jan 14 11:00,0,0,268.282881917347
Year 1 Jan 14 12:00,0,0,268.282881917347
Year 1 Jan 14 13:00,0,0,268.282881917347
Year 1 Jan 14 14:00,0,0,268.282881917347
Year 1 Jan 14 15:00,2466.02010713323,0,268.282881917347
Year 1 Jan 14 16:00,2297.72881259972,0,268.282881917347
Year 1 Jan 14 17:00,3516.34750663899,0,610.705825464329
Year 1 Jan 14 18:00,5311.77485249137,0,686.655011509517
Year 1 Jan 14 19:00,4905.45320851482,0,1031.08159047369
Year 1 Jan 14 20:00,4370.33693310214,0,2153.25902830749
Year 1 Jan 14 21:00,7184.46841521247,0,2229.20821435268
Year 1 Jan 14 22:00,6810.63591989102,0,2117.57226868664
Year 1 Jan 14 23:00,5612.34073617523,0,1632.39048398031
Year 1 Jan 15 0:00,2988.83512885361,0,149.24179646217
Year 1 Jan 15 1:00,3093.40746541437,0,73.2926104169826
Year 1 Jan 15 2:00,3109.24803358969,0,73.2926104169826
Year 1 Jan 15 3:00,3126.30873543184,0,73.2926104169826
Year 1 Jan 15 4:00,3153.14539453754,0,73.2926104169826
Year 1 Jan 15 5:00,4724.98616333848,0,73.2926104169826
Year 1 Jan 15 6:00,6506.07545272263,0,73.2926104169826
Year 1 Jan 15 7:00,6069.99645352609,0,429.874775032858
Year 1 Jan 15 8:00,4844.12799534811,0,1988.34660328931
Year 1 Jan 15 9:00,4309.37483658353,0,2335.23203585185
Year 1 Jan 15 10:00,1836.24712872952,0,2063.72717938151
Year 1 Jan 15 11:00,0,0,268.282881917347
Year 1 Jan 15 12:00,0,0,268.282881917347
Year 1 Jan 15 13:00,0,0,268.282881917347
Year 1 Jan 15 14:00,0,0,268.282881917347
Year 1 Jan 15 15:00,1787.28885655154,0,268.282881917347
Year 1 Jan 15 16:00,1876.3107199022,0,268.282881917347
Year 1 Jan 15 17:00,2862.62871710077,0,610.705825464329
Year 1 Jan 15 18:00,4231.51293068912,0,686.655011509517
Year 1 Jan 15 19:00,4022.62309884896,0,1031.08159047369
Year 1 Jan 15 20:00,3676.17580245473,0,2153.25902830749
Year 1 Jan 15 21:00,6220.61240335217,0,2229.20821435268
Year 1 Jan 15 22:00,6197.3650342826,0,2117.57226868664
Year 1 Jan 15 23:00,5290.28648466948,0,1632.39048398031
Year 1 Jan 16 0:00,2902.47564117267,0,149.24179646217
Year 1 Jan 16 1:00,3080.99697243736,0,73.2926104169826
Year 1 Jan 16 2:00,3146.62731348613,0,73.2926104169826
Year 1 Jan 16 3:00,3224.17131170134,0,73.2926104169826
Year 1 Jan 16 4:00,3308.85452667733,0,73.2926104169826
Year 1 Jan 16 5:00,4972.24191563249,0,73.2926104169826
Year 1 Jan 16 6:00,7010.39161381338,0,73.2926104169826
Year 1 Jan 16 7:00,6609.69856257571,0,429.874775032858
Year 1 Jan 16 8:00,5447.02781297093,0,1988.34660328931
Year 1 Jan 16 9:00,4855.5334559619,0,2335.23203585185
Year 1 Jan 16 10:00,2066.26263991862,0,2063.72717938151
Year 1 Jan 16 11:00,0,0,268.282881917347
Year 1 Jan 16 12:00,0,0,268.282881917347
Year 1 Jan 16 13:00,0,0,268.282881917347
Year 1 Jan 16 14:00,0,0,268.282881917347
Year 1 Jan 16 15:00,1567.78759412755,0,268.282881917347
Year 1 Jan 16 16:00,1447.20416367398,0,268.282881917347
Year 1 Jan 16 17:00,2401.58050921656,0,610.705825464329
Year 1 Jan 16 18:00,3784.49854493088,0,686.655011509517
Year 1 Jan 16 19:00,3596.72868196229,0,1031.08159047369
Year 1 Jan 16 20:00,3230.62743713199,0,2153.25902830749
Year 1 Jan 16 21:00,5364.17891688203,0,2229.20821435268
Year 1 Jan 16 22:00,5453.64457534789,0,2117.57226868664
Year 1 Jan 16 23:00,4715.57127382889,0,1632.39048398031
Year 1 Jan 17 0:00,2622.95371634235,0,149.24179646217
Year 1 Jan 17 1:00,2833.57570612069,0,73.2926104169826
Year 1 Jan 17 2:00,2931.83819594129,0,73.2926104169826
Year 1 Jan 17 3:00,3006.96949314835,0,73.2926104169826
Year 1 Jan 17 4:00,3080.28354393746,0,73.2926104169826
Year 1 Jan 17 5:00,4685.15901939274,0,73.2926104169826
Year 1 Jan 17 6:00,6500.65348191222,0,73.2926104169826
Year 1 Jan 17 7:00,6038.67349887584,0,429.874775032858
Year 1 Jan 17 8:00,4850.99177387628,0,1988.34660328931
Year 1 Jan 17 9:00,4150.80864895483,0,2335.23203585185
Year 1 Jan 17 10:00,1720.41333801418,0,2063.72717938151
Year 1 Jan 17 11:00,0,0,268.282881917347
Year 1 Jan 17 12:00,0,0,268.282881917347
Year 1 Jan 17 13:00,0,0,268.282881917347
Year 1 Jan 17 14:00,0,0,268.282881917347
Year 1 Jan 17 15:00,2307.82412830092,0,268.282881917347
Year 1 Jan 17 16:00,2217.68358226946,0,268.282881917347
Year 1 Jan 17 17:00,3182.7039390306,0,610.705825464329
Year 1 Jan 17 18:00,4652.15439175613,0,686.655011509517
Year 1 Jan 17 19:00,4248.82385995545,0,1031.08159047369
Year 1 Jan 17 20:00,3768.25654961456,0,2153.25902830749
Year 1 Jan 17 21:00,6227.77704387436,0,2229.20821435268
Year 1 Jan 17 22:00,6019.1232518469,0,2117.57226868664
Year 1 Jan 17 23:00,5010.40744876078,0,1632.39048398031
Year 1 Jan 18 0:00,2676.67901007301,0,149.24179646217
Year 1 Jan 18 1:00,2784.69205262761,0,73.2926104169826
Year 1 Jan 18 2:00,2781.25596328689,0,73.2926104169826
Year 1 Jan 18 3:00,2789.24128621824,0,73.2926104169826
Year 1 Jan 18 4:00,2813.26417303325,0,73.2926104169826
Year 1 Jan 18 5:00,4252.17697454977,0,73.2926104169826
Year 1 Jan 18 6:00,5855.22040317259,0,73.2926104169826
Year 1 Jan 18 7:00,5412.36452600403,0,429.874775032858
Year 1 Jan 18 8:00,4231.95924858998,0,1988.34660328931
Year 1 Jan 18 9:00,3704.14402558232,0,2335.23203585185
