solution_id,rack_id,rack_label,room_id,row,col,plot_row,plot_col,ac_unit,config_id,config_name,rho_load,alpha_age,epsilon_age,hotspot_risk
3135,room03_rack_it_032,32,room03,6,4,6,4,room03_cdz4,5,rdhx_wshp,0.07409849144758321,0.08788161128096536,0.08788161128096536,0.2647939343541334
3135,room03_rack_it_033,33,room03,10,20,10,20,room03_cdz1,2,new_ac_with_ashp,0.08812739088545321,0.21518768816311917,0.21518768816311917,0.2732277592632678
3135,room03_rack_it_034,34,room03,10,19,10,19,room03_cdz1,2,new_ac_with_ashp,0.22841153836789407,0.21518768816311917,0.21518768816311917,0.314627970051962
3135,room03_rack_it_035,35,room03,10,18,10,18,room03_cdz1,2,new_ac_with_ashp,0.18385902755860611,0.21518768816311917,0.21518768816311917,0.3345744887835931
3135,room03_rack_it_036,36,room03,10,17,10,17,room03_cdz1,2,new_ac_with_ashp,0.07063018210749739,0.21518768816311917,0.21518768816311917,0.3055446481639771
3135,room03_rack_it_037,37,room03,10,16,10,16,room03_cdz1,2,new_ac_with_ashp,0.06275160563382064,0.21518768816311917,0.21518768816311917,0.2832597476682479
3135,room03_rack_it_038,38,room03,10,15,10,15,room03_cdz1,2,new_ac_with_ashp,0.054986583304313746,0.21518768816311917,0.21518768816311917,0.2665072970729072
3135,room03_rack_it_039,39,room03,10,14,10,14,room03_cdz1,2,new_ac_with_ashp,0.16808511987963962,0.21518768816311917,0.21518768816311917,0.2848973885888984
3135,room03_rack_it_040,40,room03,10,13,10,13,room03_cdz2,4,cold_plate_cdu_wshp,0.09305111549512741,0.22460250817289373,0.22460250817289373,0.2964821426334723
3135,room03_rack_it_041,41,room03,10,12,10,12,room03_cdz2,4,cold_plate_cdu_wshp,0.19900456777521258,0.22460250817289373,0.22460250817289373,0.3259756548376771
3135,room03_rack_it_042,42,room03,10,11,10,11,room03_cdz2,4,cold_plate_cdu_wshp,0.20221289618388127,0.22460250817289373,0.22460250817289373,0.4391080833451882
3135,room03_rack_it_043,43,room03,10,10,10,10,room03_cdz2,4,cold_plate_cdu_wshp,0.10418902208608667,0.22460250817289373,0.22460250817289373,0.3553729153152285
3135,room03_rack_it_044,44,room03,10,9,10,9,room03_cdz2,4,cold_plate_cdu_wshp,0.10822961020104085,0.22460250817289373,0.22460250817289373,0.4145147985459335
3135,room03_rack_it_045,45,room03,10,7,10,7,room03_cdz4,5,rdhx_wshp,0.08384053839403241,0.08788161128096536,0.08788161128096536,0.4208642633190416
3135,room03_rack_it_046,46,room03,10,6,10,6,room03_cdz4,5,rdhx_wshp,0.18105912023630494,0.08788161128096536,0.08788161128096536,0.3847204124058177
3135,room03_rack_it_047,47,room03,10,5,10,5,room03_cdz4,5,rdhx_wshp,0.1332097921539177,0.08788161128096536,0.08788161128096536,0.4243147535558319
3135,room03_rack_it_048,48,room03,10,4,10,4,room03_cdz4,5,rdhx_wshp,0.15978996422459302,0.08788161128096536,0.08788161128096536,0.739942429161037
3135,room04_rack_it_000,0,room04,2,21,2,21,room04_cdz5,4,cold_plate_cdu_wshp,0.15608267230712958,0.12974762469255383,0.12974762469255383,0.0115755627009646
3135,room04_rack_it_001,1,room04,2,20,2,20,room04_cdz5,4,cold_plate_cdu_wshp,0.1771027353270782,0.12974762469255383,0.12974762469255383,0.2179614296749559
3135,room04_rack_it_002,2,room04,2,19,2,19,room04_cdz5,4,cold_plate_cdu_wshp,0.08617392591996095,0.12974762469255383,0.12974762469255383,0.2365532648320021
3135,room04_rack_it_003,3,room04,2,18,2,18,room04_cdz5,4,cold_plate_cdu_wshp,0.1942424118239296,0.12974762469255383,0.12974762469255383,0.3016426149736237
3135,room04_rack_it_004,4,room04,2,17,2,17,room04_cdz5,4,cold_plate_cdu_wshp,0.11796981094187237,0.12974762469255383,0.12974762469255383,0.3523937721604044
3135,room04_rack_it_005,5,room04,2,16,2,16,room04_cdz5,4,cold_plate_cdu_wshp,0.20179190003304415,0.12974762469255383,0.12974762469255383,0.3857644304581489
3135,room04_rack_it_006,6,room04,2,15,2,15,room04_cdz5,4,cold_plate_cdu_wshp,0.06291233955345032,0.12974762469255383,0.12974762469255383,0.3719511069872022
3135,room04_rack_it_007,7,room04,2,14,2,14,room04_cdz5,4,cold_plate_cdu_wshp,0.11285300991807395,0.12974762469255383,0.12974762469255383,0.3809206887283984
3135,room04_rack_it_008,8,room04,2,13,2,13,room04_cdz5,4,cold_plate_cdu_wshp,0.0716218367493982,0.12974762469255383,0.12974762469255383,0.3765775232764533
3135,room04_rack_it_009,9,room04,2,12,2,12,room04_cdz5,4,cold_plate_cdu_wshp,0.1250900786377436,0.12974762469255383,0.12974762469255383,0.4990344193272917
3135,room04_rack_it_010,10,room04,2,11,2,11,room04_cdz5,4,cold_plate_cdu_wshp,0.20082704421449,0.12974762469255383,0.12974762469255383,0.6930309378556903
3135,room04_rack_it_011,11,room04,2,10,2,10,room04_cdz5,4,cold_plate_cdu_wshp,0.17806544724666012,0.12974762469255383,0.12974762469255383,0.5559571765081216
3135,room04_rack_it_012,12,room04,2,9,2,9,room04_cdz5,4,cold_plate_cdu_wshp,0.21143332806823256,0.12974762469255383,0.12974762469255383,0.5362069537954202
3135,room04_rack_it_013,13,room04,2,8,2,8,room04_cdz5,4,cold_plate_cdu_wshp,0.15478354450869025,0.12974762469255383,0.12974762469255383,0.5085421030093904
3135,room04_rack_it_014,14,room04,2,7,2,7,room04_cdz5,4,cold_plate_cdu_wshp,0.12130942987170651,0.12974762469255383,0.12974762469255383,0.4531478019804122
3135,room04_rack_it_015,15,room04,2,6,2,6,room04_cdz5,4,cold_plate_cdu_wshp,0.21333299759157737,0.12974762469255383,0.12974762469255383,0.5590628935532207
3135,room04_rack_it_016,16,room04,2,5,2,5,room04_cdz5,4,cold_plate_cdu_wshp,0.08972043355670732,0.12974762469255383,0.12974762469255383,0.5880255761481263
3135,room04_rack_it_017,17,room04,2,4,2,4,room04_cdz6,4,cold_plate_cdu_wshp,0.20925386546200153,0.08095576803863085,0.08095576803863085,0.7906606617874306
3135,room04_rack_it_018,18,room04,6,20,6,20,room04_cdz1,5,rdhx_wshp,0.23452230249253975,0.19701360082890046,0.19701360082890046,0.2450543085088081
3135,room04_rack_it_019,19,room04,6,19,6,19,room04_cdz1,5,rdhx_wshp,0.21923982097733596,0.19701360082890046,0.19701360082890046,0.2810534486215867
3135,room04_rack_it_020,20,room04,6,18,6,18,room04_cdz1,5,rdhx_wshp,0.2411557824052784,0.19701360082890046,0.19701360082890046,0.2898612400925087
